,IRON_H,STR3_MOTOR_tstat_CP_1mm
780,0.048657775295,0.866077065468
788,0.00703069634216,1.24284613132
827,-0.309193735416,1.17903423309
933,0.475761073039,1.7420886755
941,0.56665524912,1.33496570587
949,0.402885764497,-1.43343877792
977,0.387479110817,0.776099264622
1028,1.11024185224,1.1464009285
1170,0.0904762066257,0.953679263592
1171,0.418960075783,1.91355776787
1242,1.92128859873,2.93185400963
2209,-0.507728657585,1.88038980961
2233,0.17550380626,1.47627484798
2249,0.232701290319,1.49217474461
2257,-0.126081758598,3.23828339577
2265,-0.525384188625,1.40609419346
4906,0.771774390767,2.29342103004
4914,0.953438195899,2.18450546265
4938,0.943396504358,1.35110259056
4961,0.734837716003,2.3985850811
4970,0.603495923702,0.802243411541
5050,1.00867630593,1.32101023197
5058,2.27662510396,2.29965877533
5233,1.48001376096,2.32482647896
5667,0.0784824566741,2.70122718811
5675,0.601608203405,1.66725432873
5769,-0.0624715341602,1.64179074764
5898,0.0695049200426,-0.177965596318
7129,0.739700988015,2.08799862862
13594,-0.521888860537,-0.111355267465
13665,-0.295675478975,0.337270349264
13905,0.675700212931,1.59109830856
13994,0.827456889768,1.03531396389
14161,2.42376842107,1.84583032131
14169,1.81739664512,1.93185555935
126432120,1.02443178711,0.287642240524
126432136,1.26112801064,0.09056789428
126432517,1.5238409037,0.17707195878
126439301,1.02683193614,2.59993958473
127687867,0.00949122474789,0.265349149704
127687915,-0.483973729021,-0.88247525692
127687931,-0.895969682496,1.18726730347
127687979,-0.728530954735,-0.696988403797
139379739,1.13852634392,1.68368697166
147628277,0.430304345697,2.19165372849
149052726,1.28155245137,1.79945647717
156434555,0.495866373995,0.142819061875
156434571,0.772593105843,2.11910557747
156434587,2.22830888163,1.92923057079
156906972,0.168425466978,-0.5728957057
159226061,0.620956712817,1.70551586151
159226077,3.201683796,2.44096040726
159226091,1.09336282965,0.365810930729
159226107,0.461785090236,0.752572119236
159438993,0.184234581677,1.96901702881
159439025,3.15553029809,3.04695129395
159439119,0.604451428916,-0.0130302133039
160092011,1.03520396135,1.46978831291
