1	-25	-98	-12	5	3mm
2	27	-97	-13	5	3mm
3	24	32	-18	5	3mm
4	-56	-45	-24	5	3mm
5	8	41	-24	5	3mm
6	-21	-22	-20	5	3mm
7	17	-28	-17	5	3mm
8	-37	-29	-26	5	3mm
9	65	-24	-19	5	3mm
10	52	-34	-27	5	3mm
11	55	-31	-17	5	3mm
12	34	38	-12	5	3mm
13	-7	-52	61	5	3mm
14	-14	-18	40	5	3mm
15	0	-15	47	5	3mm
16	10	-2	45	5	3mm
17	-7	-21	65	5	3mm
18	-7	-33	72	5	3mm
19	13	-33	75	5	3mm
20	-54	-23	43	5	3mm
21	29	-17	71	5	3mm
22	10	-46	73	5	3mm
23	-23	-30	72	5	3mm
24	-40	-19	54	5	3mm
25	29	-39	59	5	3mm
26	50	-20	42	5	3mm
27	-38	-27	69	5	3mm
28	20	-29	60	5	3mm
29	44	-8	57	5	3mm
30	-29	-43	61	5	3mm
31	10	-17	74	5	3mm
32	22	-42	69	5	3mm
33	-45	-32	47	5	3mm
34	-21	-31	61	5	3mm
35	-13	-17	75	5	3mm
36	42	-20	55	5	3mm
37	-38	-15	69	5	3mm
38	-16	-46	73	5	3mm
39	2	-28	60	5	3mm
40	3	-17	58	5	3mm
41	38	-17	45	5	3mm
42	-49	-11	35	5	3mm
43	36	-9	14	5	3mm
44	51	-6	32	5	3mm
45	-53	-10	24	5	3mm
46	66	-8	25	5	3mm
47	-3	2	53	5	3mm
48	54	-28	34	5	3mm
49	19	-8	64	5	3mm
50	-16	-5	71	5	3mm
51	-10	-2	42	5	3mm
52	37	1	-4	5	3mm
53	13	-1	70	5	3mm
54	7	8	51	5	3mm
55	-45	0	9	5	3mm
56	49	8	-1	5	3mm
57	-34	3	4	5	3mm
58	-51	8	-2	5	3mm
59	-5	18	34	5	3mm
60	36	10	1	5	3mm
61	32	-26	13	5	3mm
62	65	-33	20	5	3mm
63	58	-16	7	5	3mm
64	-38	-33	17	5	3mm
65	-60	-25	14	5	3mm
66	-49	-26	5	5	3mm
67	43	-23	20	5	3mm
68	-50	-34	26	5	3mm
69	-53	-22	23	5	3mm
70	-55	-9	12	5	3mm
71	56	-5	13	5	3mm
72	59	-17	29	5	3mm
73	-30	-27	12	5	3mm
74	-41	-75	26	5	3mm
75	6	67	-4	5	3mm
76	8	48	-15	5	3mm
77	-13	-40	1	5	3mm
78	-18	63	-9	5	3mm
79	-46	-61	21	5	3mm
80	43	-72	28	5	3mm
81	-44	12	-34	5	3mm
82	46	16	-30	5	3mm
83	-68	-23	-16	5	3mm
84	-58	-26	-15	5	3mm
85	27	16	-17	5	3mm
86	-44	-65	35	5	3mm
87	-39	-75	44	5	3mm
88	-7	-55	27	5	3mm
89	6	-59	35	5	3mm
90	-11	-56	16	5	3mm
91	-3	-49	13	5	3mm
92	8	-48	31	5	3mm
93	15	-63	26	5	3mm
94	-2	-37	44	5	3mm
95	11	-54	17	5	3mm
96	52	-59	36	5	3mm
97	23	33	48	5	3mm
98	-10	39	52	5	3mm
99	-16	29	53	5	3mm
100	-35	20	51	5	3mm
101	22	39	39	5	3mm
102	13	55	38	5	3mm
103	-10	55	39	5	3mm
104	-20	45	39	5	3mm
105	6	54	16	5	3mm
106	6	64	22	5	3mm
107	-7	51	-1	5	3mm
108	9	54	3	5	3mm
109	-3	44	-9	5	3mm
110	8	42	-5	5	3mm
111	-11	45	8	5	3mm
112	-2	38	36	5	3mm
113	-3	42	16	5	3mm
114	-20	64	19	5	3mm
115	-8	48	23	5	3mm
116	65	-12	-19	5	3mm
117	-56	-13	-10	5	3mm
118	-58	-30	-4	5	3mm
119	65	-31	-9	5	3mm
120	-68	-41	-5	5	3mm
121	13	30	59	5	3mm
122	12	36	20	5	3mm
123	52	-2	-16	5	3mm
124	-26	-40	-8	5	3mm
125	27	-37	-13	5	3mm
126	-34	-38	-16	5	3mm
127	28	-77	-32	5	3mm
128	52	7	-30	5	3mm
129	-53	3	-27	5	3mm
130	47	-50	29	5	3mm
131	-49	-42	1	5	3mm
132	-31	19	-19	5	3mm
133	-2	-35	31	5	3mm
134	-7	-71	42	5	3mm
135	11	-66	42	5	3mm
136	4	-48	51	5	3mm
137	-46	31	-13	5	3mm
138	-10	11	67	5	3mm
139	49	35	-12	5	3mm
140	8	-91	-7	5	3mm
141	17	-91	-14	5	3mm
142	-12	-95	-13	5	3mm
143	18	-47	-10	5	3mm
144	40	-72	14	5	3mm
145	8	-72	11	5	3mm
146	-8	-81	7	5	3mm
147	-28	-79	19	5	3mm
148	20	-66	2	5	3mm
149	-24	-91	19	5	3mm
150	27	-59	-9	5	3mm
151	-15	-72	-8	5	3mm
152	-18	-68	5	5	3mm
153	43	-78	-12	5	3mm
154	-47	-76	-10	5	3mm
155	-14	-91	31	5	3mm
156	15	-87	37	5	3mm
157	29	-77	25	5	3mm
158	20	-86	-2	5	3mm
159	15	-77	31	5	3mm
160	-16	-52	-1	5	3mm
161	42	-66	-8	5	3mm
162	24	-87	24	5	3mm
163	6	-72	24	5	3mm
164	-42	-74	0	5	3mm
165	26	-79	-16	5	3mm
166	-16	-77	34	5	3mm
167	-3	-81	21	5	3mm
168	-40	-88	-6	5	3mm
169	37	-84	13	5	3mm
170	6	-81	6	5	3mm
171	-26	-90	3	5	3mm
172	-33	-79	-13	5	3mm
173	37	-81	1	5	3mm
174	-44	2	46	5	3mm
175	48	25	27	5	3mm
176	-47	11	23	5	3mm
177	-53	-49	43	5	3mm
178	-23	11	64	5	3mm
179	58	-53	-14	5	3mm
180	24	45	-15	5	3mm
181	34	54	-13	5	3mm
182	-21	41	-20	5	3mm
183	-18	-76	-24	5	3mm
184	17	-80	-34	5	3mm
185	35	-67	-34	5	3mm
186	47	10	33	5	3mm
187	-41	6	33	5	3mm
188	-42	38	21	5	3mm
189	38	43	15	5	3mm
190	49	-42	45	5	3mm
191	-28	-58	48	5	3mm
192	44	-53	47	5	3mm
193	32	14	56	5	3mm
194	37	-65	40	5	3mm
195	-42	-55	45	5	3mm
196	40	18	40	5	3mm
197	-34	55	4	5	3mm
198	-42	45	-2	5	3mm
199	33	-53	44	5	3mm
200	43	49	-2	5	3mm
201	-42	25	30	5	3mm
202	-3	26	44	5	3mm
203	11	-39	50	5	3mm
204	55	-45	37	5	3mm
205	42	0	47	5	3mm
206	31	33	26	5	3mm
207	48	22	10	5	3mm
208	-35	20	0	5	3mm
209	36	22	3	5	3mm
210	37	32	-2	5	3mm
211	34	16	-8	5	3mm
212	-11	26	25	5	3mm
213	-1	15	44	5	3mm
214	-28	52	21	5	3mm
215	0	30	27	5	3mm
216	5	23	37	5	3mm
217	10	22	27	5	3mm
218	31	56	14	5	3mm
219	26	50	27	5	3mm
220	-39	51	17	5	3mm
221	2	-24	30	5	3mm
222	6	-24	0	5	3mm
223	-2	-13	12	5	3mm
224	-10	-18	7	5	3mm
225	12	-17	8	5	3mm
226	-5	-28	-4	5	3mm
227	-22	7	-5	5	3mm
228	-15	4	8	5	3mm
229	31	-14	2	5	3mm
230	23	10	1	5	3mm
231	29	1	4	5	3mm
232	-31	-11	0	5	3mm
233	15	5	7	5	3mm
234	9	-4	6	5	3mm
235	54	-43	22	5	3mm
236	-56	-50	10	5	3mm
237	-55	-40	14	5	3mm
238	52	-33	8	5	3mm
239	51	-29	-4	5	3mm
240	56	-46	11	5	3mm
241	53	33	1	5	3mm
242	-49	25	-1	5	3mm
243	-16	-65	-20	5	3mm
244	-32	-55	-25	5	3mm
245	22	-58	-23	5	3mm
246	1	-62	-18	5	3mm
247	33	-12	-34	5	3mm
248	-31	-10	-36	5	3mm
249	49	-3	-38	5	3mm
250	-50	-7	-39	5	3mm
251	10	-62	61	5	3mm
252	-52	-63	5	5	3mm
253	-47	-51	-21	5	3mm
254	46	-47	-17	5	3mm
255	47	-30	49	5	3mm
256	22	-65	48	5	3mm
257	46	-59	4	5	3mm
